user_id,name,email,phone,signup_date,city,is_premium
1,Gaurav Singh,gaurav.singh1@gmail.com,+918181241943,2024-09-07,Delhi,False
2,Shruti Mishra,shruti.mishra2@gmail.com,+919536146025,2025-03-08,Mumbai,True
3,Aanya Malhotra,aanya.malhotra3@gmail.com,+919410529190,2024-07-22,Pune,False
4,Vikram Nair,vikram.nair4@hotmail.com,+919530876844,2024-10-11,Kolkata,True
5,Ananya Tiwari,ananya.tiwari5@hotmail.com,+918461364854,2024-10-11,Mumbai,False
6,Amit Singh,amit.singh6@gmail.com,+918631775357,2024-04-09,Bangalore,False
7,Ira Dubey,ira.dubey7@gmail.com,+918973214822,2024-05-07,Ahmedabad,False
8,Kavita Rao,kavita.rao8@outlook.com,+919479708607,2024-07-15,Pune,True
9,Aanya Pandey,aanya.pandey9@outlook.com,+917342703921,2024-08-26,Jaipur,False
10,Simran Mukherjee,simran.mukherjee10@outlook.com,+917698594025,2025-01-14,Bangalore,False
11,Pankaj Yadav,pankaj.yadav11@gmail.com,+919616197747,2024-06-24,Hyderabad,False
12,Simran Iyer,simran.iyer12@outlook.com,+919748778024,2024-08-12,Pune,False
13,Tanya Verma,tanya.verma13@yahoo.com,+917137869475,2024-11-19,Bangalore,True
14,Suresh Chauhan,suresh.chauhan14@outlook.com,+917913224047,2025-05-26,Bangalore,False
15,Simran Kumar,simran.kumar15@outlook.com,+917599707677,2024-09-09,Pune,False
16,Megha Banerjee,megha.banerjee16@hotmail.com,+919506254832,2025-02-12,Bangalore,False
17,Krishna Malhotra,krishna.malhotra17@hotmail.com,+917390452952,2024-02-18,Jaipur,False
18,Ananya Dubey,ananya.dubey18@hotmail.com,+919561557300,2024-03-06,Bangalore,False
19,Simran Malhotra,simran.malhotra19@outlook.com,+919376087131,2024-01-12,Pune,True
20,Rajesh Pandey,rajesh.pandey20@outlook.com,+919752909971,2024-12-14,Mumbai,False
21,Simran Sharma,simran.sharma21@outlook.com,+919150000991,2024-07-01,Hyderabad,True
22,Gaurav Rao,gaurav.rao22@yahoo.com,+917656439677,2025-01-17,Kolkata,False
23,Tanya Yadav,tanya.yadav23@gmail.com,+919572447412,2024-11-27,Bangalore,True
24,Pooja Chauhan,pooja.chauhan24@outlook.com,+918028439863,2024-02-29,Delhi,False
25,Sai Gupta,sai.gupta25@hotmail.com,+917297265480,2025-06-29,Kolkata,True
26,Deepak Kapoor,deepak.kapoor26@yahoo.com,+918138409539,2025-06-24,Jaipur,False
27,Sara Yadav,sara.yadav27@yahoo.com,+918338811290,2025-02-12,Ahmedabad,False
28,Karan Chauhan,karan.chauhan28@hotmail.com,+917519709079,2024-09-10,Delhi,False
29,Nisha Kapoor,nisha.kapoor29@yahoo.com,+919527331058,2024-08-13,Mumbai,False
30,Vihaan Nair,vihaan.nair30@gmail.com,+917134917627,2024-12-04,Mumbai,False
31,Nikhil Chopra,nikhil.chopra31@yahoo.com,+919315992115,2024-05-15,Pune,False
32,Suresh Chopra,suresh.chopra32@yahoo.com,+919031403296,2025-02-20,Delhi,True
33,Meera Shah,meera.shah33@hotmail.com,+918765670844,2025-04-23,Jaipur,True
34,Divya Mukherjee,divya.mukherjee34@gmail.com,+917260329455,2025-02-16,Pune,False
35,Reyansh Nair,reyansh.nair35@yahoo.com,+917816941039,2025-04-04,Mumbai,False
36,Simran Nair,simran.nair36@gmail.com,+918903232052,2024-04-10,Mumbai,False
37,Aarav Gupta,aarav.gupta37@yahoo.com,+917714300770,2025-02-20,Bangalore,False
38,Sneha Chauhan,sneha.chauhan38@gmail.com,+917707111048,2025-01-23,Mumbai,False
39,Simran Rao,simran.rao39@hotmail.com,+919991837720,2025-05-13,Mumbai,False
40,Vihaan Banerjee,vihaan.banerjee40@gmail.com,+918346922426,2024-02-28,Mumbai,False
41,Swati Patel,swati.patel41@gmail.com,+919181106786,2024-03-23,Jaipur,True
42,Arjun Agarwal,arjun.agarwal42@yahoo.com,+918734202799,2024-05-02,Lucknow,False
43,Nisha Das,nisha.das43@gmail.com,+919660223333,2024-03-24,Bangalore,False
44,Swati Mehta,swati.mehta44@outlook.com,+917877286584,2024-11-17,Delhi,False
45,Nikhil Mukherjee,nikhil.mukherjee45@outlook.com,+918963764597,2024-11-19,Lucknow,False
46,Aarav Bhat,aarav.bhat46@gmail.com,+917314652384,2024-08-06,Hyderabad,True
47,Neha Chauhan,neha.chauhan47@gmail.com,+918049193572,2025-01-13,Delhi,False
48,Rajesh Tiwari,rajesh.tiwari48@outlook.com,+919627135980,2025-06-25,Mumbai,False
49,Priya Yadav,priya.yadav49@gmail.com,+917576775951,2024-09-27,Mumbai,True
50,Kavita Kumar,kavita.kumar50@outlook.com,+918210133979,2024-08-03,Pune,False
51,Gaurav Srivastava,gaurav.srivastava51@outlook.com,+919170715377,2025-05-15,Delhi,False
52,Vihaan Gupta,vihaan.gupta52@hotmail.com,+918188332531,2024-02-15,Mumbai,False
53,Gaurav Joshi,gaurav.joshi53@yahoo.com,+918897669065,2025-03-13,Hyderabad,True
54,Pankaj Chauhan,pankaj.chauhan54@yahoo.com,+919343292475,2024-02-06,Jaipur,False
55,Ishaan Menon,ishaan.menon55@yahoo.com,+917179653598,2024-11-11,Bangalore,False
56,Aditya Chauhan,aditya.chauhan56@outlook.com,+917902271852,2024-09-12,Chennai,False
57,Kavita Chauhan,kavita.chauhan57@hotmail.com,+919665720874,2024-06-07,Lucknow,False
58,Ananya Dubey,ananya.dubey58@yahoo.com,+918770791023,2024-01-26,Mumbai,False
59,Vikram Dubey,vikram.dubey59@yahoo.com,+918145921803,2024-06-12,Kolkata,True
60,Aditya Srivastava,aditya.srivastava60@hotmail.com,+917955345537,2024-07-23,Kolkata,False
61,Priya Saxena,priya.saxena61@yahoo.com,+917957449367,2024-01-25,Chennai,False
62,Kiara Srivastava,kiara.srivastava62@gmail.com,+918198832728,2024-12-25,Chennai,False
63,Rajesh Mehta,rajesh.mehta63@gmail.com,+917495389030,2024-09-24,Mumbai,False
64,Ira Verma,ira.verma64@gmail.com,+919562254028,2025-03-20,Bangalore,False
65,Meera Das,meera.das65@gmail.com,+918654401763,2024-07-13,Delhi,False
66,Aarav Malhotra,aarav.malhotra66@yahoo.com,+918564319318,2025-03-17,Mumbai,False
67,Amit Das,amit.das67@outlook.com,+919849227494,2024-05-07,Pune,False
68,Priya Agarwal,priya.agarwal68@hotmail.com,+918400944900,2025-02-16,Pune,False
69,Myra Menon,myra.menon69@hotmail.com,+919909058412,2024-06-27,Chennai,False
70,Kavita Saxena,kavita.saxena70@gmail.com,+918305132983,2024-10-20,Delhi,False
71,Harish Mukherjee,harish.mukherjee71@outlook.com,+918997109065,2025-03-28,Bangalore,False
72,Deepak Dubey,deepak.dubey72@yahoo.com,+919829742424,2024-03-27,Delhi,False
73,Pallavi Mehta,pallavi.mehta73@gmail.com,+918008752943,2024-11-13,Delhi,False
74,Vivaan Verma,vivaan.verma74@yahoo.com,+919040695043,2024-03-15,Bangalore,False
75,Suresh Reddy,suresh.reddy75@hotmail.com,+919123333781,2025-02-13,Delhi,False
76,Aarav Chauhan,aarav.chauhan76@gmail.com,+918825989011,2024-08-12,Mumbai,False
77,Swati Bhat,swati.bhat77@gmail.com,+919394039673,2024-09-12,Lucknow,True
78,Krishna Dubey,krishna.dubey78@hotmail.com,+919867224513,2025-06-27,Ahmedabad,False
79,Akash Chauhan,akash.chauhan79@hotmail.com,+919631321682,2025-05-31,Bangalore,False
80,Karan Chauhan,karan.chauhan80@yahoo.com,+919038711176,2025-04-05,Delhi,False
81,Gaurav Joshi,gaurav.joshi81@hotmail.com,+919691864041,2024-09-01,Delhi,True
82,Riya Nair,riya.nair82@outlook.com,+918442454200,2024-11-23,Lucknow,True
83,Ishaan Nair,ishaan.nair83@hotmail.com,+919980491761,2024-06-05,Pune,True
84,Vikram Mehta,vikram.mehta84@hotmail.com,+918785736751,2024-03-04,Delhi,False
85,Tanya Banerjee,tanya.banerjee85@gmail.com,+919472571231,2025-01-24,Bangalore,False
86,Priya Pandey,priya.pandey86@hotmail.com,+918799682701,2024-08-13,Bangalore,False
87,Ankita Sharma,ankita.sharma87@hotmail.com,+918443665390,2025-02-18,Pune,False
88,Krishna Das,krishna.das88@gmail.com,+918692304102,2024-01-28,Mumbai,False
89,Simran Patel,simran.patel89@gmail.com,+918117362852,2025-01-23,Delhi,False
90,Amit Pandey,amit.pandey90@hotmail.com,+918195103064,2025-03-07,Delhi,True
91,Vivaan Mishra,vivaan.mishra91@gmail.com,+918503068227,2024-08-17,Chennai,False
92,Divya Verma,divya.verma92@gmail.com,+918062073697,2024-07-23,Jaipur,False
93,Aadhya Kumar,aadhya.kumar93@hotmail.com,+919875303857,2024-04-27,Hyderabad,False
94,Pankaj Joshi,pankaj.joshi94@outlook.com,+917720648887,2024-04-27,Kolkata,False
95,Priya Singh,priya.singh95@gmail.com,+918339846171,2025-01-19,Bangalore,False
96,Arjun Banerjee,arjun.banerjee96@yahoo.com,+917437662764,2024-11-04,Jaipur,False
97,Ayaan Dubey,ayaan.dubey97@gmail.com,+918491228808,2025-06-29,Bangalore,False
98,Manish Mukherjee,manish.mukherjee98@outlook.com,+917054340558,2025-03-06,Kolkata,True
99,Pooja Mukherjee,pooja.mukherjee99@hotmail.com,+917657091982,2025-03-21,Mumbai,False
100,Divya Joshi,divya.joshi100@hotmail.com,+918996617659,2025-03-22,Kolkata,False
101,Rahul Srivastava,rahul.srivastava101@yahoo.com,+917372214308,2024-10-12,Jaipur,False
102,Simran Banerjee,simran.banerjee102@hotmail.com,+918444812497,2024-01-30,Hyderabad,False
103,Ankita Reddy,ankita.reddy103@outlook.com,+918109615163,2024-12-14,Delhi,False
104,Kiara Kapoor,kiara.kapoor104@gmail.com,+919218897149,2024-07-14,Mumbai,False
105,Ankita Kapoor,ankita.kapoor105@yahoo.com,+919966144543,2025-05-02,Chennai,False
106,Vivaan Gupta,vivaan.gupta106@outlook.com,+917951749308,2025-02-18,Pune,False
107,Nisha Shah,nisha.shah107@hotmail.com,+919377148230,2025-06-27,Bangalore,False
108,Kavita Mehta,kavita.mehta108@outlook.com,+918948821078,2024-10-04,Delhi,False
109,Varun Reddy,varun.reddy109@outlook.com,+917513483708,2024-07-08,Delhi,False
110,Kiara Mishra,kiara.mishra110@outlook.com,+917431756350,2024-07-17,Delhi,False
111,Priya Sharma,priya.sharma111@yahoo.com,+918178158203,2024-02-16,Ahmedabad,False
112,Pankaj Kumar,pankaj.kumar112@hotmail.com,+917440610570,2024-01-13,Hyderabad,False
113,Karan Mehta,karan.mehta113@yahoo.com,+917220661337,2024-09-15,Lucknow,False
114,Arjun Iyer,arjun.iyer114@hotmail.com,+917318180503,2024-02-24,Mumbai,False
115,Priya Gupta,priya.gupta115@yahoo.com,+917508745584,2025-03-02,Chennai,False
116,Aanya Pandey,aanya.pandey116@hotmail.com,+918934944879,2025-03-29,Delhi,False
117,Meera Rao,meera.rao117@gmail.com,+919618344818,2024-04-11,Lucknow,False
118,Sara Joshi,sara.joshi118@gmail.com,+917674555072,2024-09-02,Mumbai,True
119,Aarav Menon,aarav.menon119@hotmail.com,+919960826470,2025-04-26,Delhi,False
120,Ritika Rao,ritika.rao120@hotmail.com,+917305714736,2024-08-27,Lucknow,False
